Code,Parent,Name_fr
"01100","0110","Officiers des forces armées"
"02100","0210","Sous-officiers des forces armées"
"03100","0310","Autres membres des forces armées"
"10000","1000","Directeurs, cadres de direction et gérants, sip"
"11000","1100","Directeurs généraux, cadres supérieurs et membres de l’Exécutif et des corps législatifs, sip"
"11100","1110","Membres des corps législatifs et cadres supérieurs de l’administration publique, sip"
"11110","1111","Membres des corps législatifs"
"11120","1112","Cadres supérieurs de l’administration publique"
"11130","1113","Chefs traditionnels et chefs de village"
"11140","1114","Dirigeants et cadres supérieurs d’organisations spécialisées"
"11200","1120","Directeurs généraux d’entreprise"
"12000","1200","Directeurs de services administratifs et commerciaux, sip"
"12100","1210","Directeurs de services administratifs, sip"
"12110","1211","Directeurs et cadres de direction, services financiers"
"12120","1212","Directeurs et cadres de direction, ressources humaines"
"12130","1213","Directeurs et cadres de direction, stratégie et planifications"
"12190","1219","Directeurs des services administratifs non classés ailleurs"
"12200","1220","Directeurs et cadres de direction, ventes, marketing et développement, sip"
"12210","1221","Directeurs et cadres de direction, ventes et marketing, sip"
"12211","1221","Directeurs et cadres de direction, vente"
"12212","1221","Directeurs et cadres de direction, marketing"
"12220","1222","Directeurs et cadres de direction, publicité et relations publiques"
"12230","1223","Directeurs et cadres de direction, recherche et développement"
"13000","1300","Directeurs et cadres de direction, production et services spécialisés, sip"
"13100","1310","Directeurs et cadres de direction, agriculture, sylviculture et pêche, sip"
"13110","1311","Directeurs et cadres de direction, agriculture et sylviculture"
"13120","1312","Directeurs et cadres de direction, aquaculture et pêche"
"13200","1320","Directeurs et cadres de direction, industries manufacturières, mines, bâtiment et distribution, sip"
"13210","1321","Directeurs et cadres de direction, industrie manufacturière"
"13220","1322","Directeurs et cadres de direction, mines"
"13230","1323","Directeurs et cadres de direction, bâtiment, sip"
"13231","1323","Directeurs et cadres de direction, bâtiment, secteur principal de la construction"
"13232","1323","Directeurs et cadres de direction, bâtiment, second œuvre"
