Code,Parent,Name_en
"11101001","61300","Mountain farmer"
"11101002","61300","Small farmer"
"11101003","61300","Farmer"
"11101005","61300","Tenant"
"11101008","61300","Livestock producer"
"11101013","61300","Farmer/landlord | Farmer/landlady"
"11101017","61300","Farmer/fruit farmer"
"11101018","61300","Farmer/winegrower"
"11101019","61300","Farmer/horticulturist"
"11102001","92130","Farm hand"
"11102003","92130","Farm labourer"
"11102005","92120","Stableboy | Stable maid"
"11102008","92130","Farm worker"
"11102009","92120","Milker"
"11102010","92130","Agricultural employee"
"11102011","92130","Agricultural aid"
"11102013","61211","Herdsman | Herdswoman"
"11102017","83410","Tractor driver"
"11102018","92110","Picker"
"11102020","92120","Stable lad"
"11102021","92130","Agricultural labourer"
"11103001","13110","Agricultural estate manager"
"11103002","13110","Agricultural estate owner"
"11103003","32400","Artificial insemination technician"
"11103004","32400","Artificial inseminator"
"11103005","31420","Agricultural technician/engineer"
"11103006","31410","Plant protection technician"
"11103008","92110","Medicinal herb picker"
"11103009","75440","Mouse catcher"
"11103010","21320","Agricultural expert"
"11103011","83410","Thresher"
"11103012","83410","Threshing machine driver"
"11103013","61300","Manager of an agricultural holding"
"11103015","21320","Agricultural consultant"
"11103016","32570","Cattle inspector"
"11103017","61300","Cultivation manager"
"11103018","92130","Agricultural assistant"
"11103019","43210","Breeding book manager"
"11103020","75440","Mole catcher"
"11103024","92110","Threshing worker"
"11103025","92120","Breeding worker"
"11103026","21320","Milking expert"
"11103027","21320","Milking consultant"
"11103028","21320","Plant cultivation consultant"
"11103029","21320","Grain specialist"
"11103030","21320","Cultivation consultant"
"11103031","31420","Fertilizer consultant"
"11103032","21320","Plant protection consultant"
"11201001","61121","Pomologist"
"11201002","31420","Fruit growing technician"
"11201004","21320","Fruit growing consultant"
"11201005","61121","Fruit growing expert"
"11201009","92110","Fruit sorter"
"11201010","61121","Fruit farmer"
"11201011","61121","Fruit tree pruner"
"11201012","92110","Fruit picker"
"11201013","32570","Fruit growing inspector"
"11201016","61121","Fruit and winegrower"
"11201017","61121","Fruit producer"
"11202001","61122","Winegrower"
"11202003","61122","Winegrower-cellar master"
"11202004","61122","Winegrower-tenant"
"11202006","92110","Winegrowing employee"
"11202009","92110","Winegrowing labourer"
"11202011","92110","Grape picker"
"11202012","92110","Winegrowing assistant"
"11202016","92110","Vine grafter"
"11203001","61132","Mushroom grower"
"11203003","61110","Qualified vegetable grower"
"11203004","61132","Tobacco planter"
"11203005","61110","Asparagus grower"
"11203006","92110","Mushroom picker"
"11203008","61110","Horticulturist (vegetable grower)"
"11203009","61300","Organic farmer"
"11203010","61132","Organic gardener"
"11203011","92110","Vegetable growing worker"
"11203012","61132","White mushroom grower"
"11203013","61110","Vegetable gardener"
"11203017","61121","Fruit and vegetable farmer"
"11203018","61121","Fruit and vegetable gardener"
"11203019","61110","Organic vegetable grower"
"11203020","61110","Organic vegetable farmer"
"11203021","61110","Vegetable producer"
"11301001","92120","Stable hand (horses)"
"11301002","61212","Horse breaker"
"11301003","61211","Cattle fattener"
"11301005","61211","Equerry"
"11301006","61290","Breeder"
"11301007","61211","Cattle breeder"
"11301009","61212","Stud master"
"11301010","61211","Cattle and horse breeder"
"11301012","61300","Farmer/horse groom"
"11301013","31420","Cattle expert"
"11301015","61212","Horse breeder"
"11301017","61212","Riding stable owner"
"11301019","61212","Equestrian"
"11301021","61211","Stock breeder"
"11301022","92120","Equestrian centre employee"
"11301024","61212","Certified equine specialist"
"11301025","61212","Certified groom"
"11302001","61211","Sheep breeder"
"11302002","61290","Dog breeder"
"11302003","61290","Fur farmer"
"11302004","61290","Rabbit breeder"
"11302005","92120","Swine breeding assistant"
"11302007","61211","Small livestock farmer"
"11302008","61211","Pig breeder"
"11302010","61211","Pigman"
"11302011","61211","Swineherd"
"11302012","61211","Goatherd"
"11302013","61211","Pig breeding consultant"
"11302015","51640","Dog groom"
"11302016","61211","Shepherd"
"11302017","61211","Pig farmer"
"11302018","61211","Small livestock breeder"
"11302019","61211","Sheep stockman"
"11302020","61290","Small animal breeder"
"11302021","61211","Sheep farmer"
"11302022","61211","Goat farmer"
"11302023","61211","Goat breeder"
"11303001","61220","Carrier pigeon breeder"
"11303002","61220","Poultry breeder"
"11303003","61220","Poultry stockman"
"11303004","61220","Poultry farmer"
"11303005","92120","Hatchery assistant"
"11303006","61220","Chicken farm owner"
"11303007","61220","Bird breeder"
"11303008","92120","Poultry farming assistant"
"11303011","13110","Hatchery owner"
"11303014","31420","Poultry expert"
"11303015","61220","Poultry specialist, consultant"
"11304001","62210","Shellfish cultivator"
"11304002","62210","Ornamental fish breeder"
"11304003","62210","Pisciculturist"
"11304004","62210","Oyster grower"
"11304005","62210","Fry breeder"
"11304006","62210","Trout farmer"
"11304007","62210","Fish farm worker"
"11304008","62210","Pond keeper (fish farming)"
"11304009","62210","Mussel grower"
"11305001","96290","Kennel assistant"
"11305002","51640","Animal attendant"
"11305003","51640","Dog trainer"
"11305004","51640","Animal keeper"
"11305005","51640","Guide dog trainer"
"11305007","51640","Dog hairdresser"
"11305030","61230","Apiarist"
"11305031","61230","Sericulturist"
"11305032","61230","Beekeeper"
"11305034","61230","Mealworm breeder"
"11305035","51640","Head of an animal shelter"
"11305043","61230","Master beekeeper"
"11305044","61230","Insect breeder"
"11401002","92140","Tree nursery labourer"
"11401003","61132","Market gardener"
"11401005","61132","Potted plant and cut flower grower"
"11401007","61132","Shrub and bush gardener"
"11401008","92140","Assistant gardener"
